Tweets,Sentiment
" '@yadavakhilesh अखलेशजी जब #वैक्सीन आई तब #बीजेपी की वैक्सीन और पता नहीं सेफ है कि नहीं का रोना रोने वाले आज ज्ञान दे रहे हैं कि वैक्सिनेशन जल्दी नहीं हो रहा।अगर तभी अपनी जिम्मेदारी निभाई होती और लोगों को डराने की बजाय प्रोत्साहित किया होता तो आज हालात दूसरे होते।लेकिन नही पॉलिटिक्स करनी थी ना😡',",positive
" '@aajtak @AmitShah याद रखना मोदीजी और अमित शाह जी कोरोना से मरने वालों की चिताओं की अग्नि बीजेपी को #स्वाह कर देगी \nआने वाले समय में #बीजेपी मुक्त देश होगा',",negative
" '#बीजेपी का डीएनए ही खराब है डाक्टर भी सड़क छाप भाषा का उपयोग करने लगता है ।।\n\n#डाक्टर_हर्षवर्धन',",negative
" '#जब पूरा देश कोरोना महामारी से लड़ रहा हैं तब #बीजेपी चुनाव लड़ रही हैं। देश को महामारी मे धकलेने का काम #चुनावी रैलीया कर के #मोदी और अमित शाह कर रहे है \n#लॉकडाउन #मोदी_मतलब_देश_चौपट  @kavita_meena1 @DrNPMeena @manojvidrohi19 @meena_avadhesh',",positive
" 'जब हमलोग पिछले 7 साल से मंदिर और मस्जिद मांग रहे है तो अभी अस्पताल, वैक्सीन और चिकित्सक सेवा क्यूं मांग रहे है। सरकार ने जो वादा किया, वो तो पूरा हुआ ना।\n\n#कोरोना #मोदी_जवाब_दो #मोदीजी_चुनाव_छोड़िए_देश_बचाइए #मोदी_मतलब_देश_चौपट #बीजेपी #लॉकडाउन #श्मशान_मंत्री_मोदी #COVIDEmergency',",positive
" '#पैड पर एक गिरगिट ने आत्मा हत्या कर लीं\n#सुसाईड नोट में लिखा अब सहन नहीं होता\n#बीजेपी वालों ने मेरा रंग बदलने का हुनर छीन लिया\n#modi_sold_farmers',",negative
" '@Pawankhera @drharshvardhan #बीजेपी में \nएक से बढ़कर एक बेशर्म नेता !',",positive
" 'चलेगा न कोई बहाना...\n\n2 मई को #बीजेपी के जनाज़े में सबको है आना!\n#बंगाल 🤔',",positive
" '#बंगाल में बीजेपी की रैली में ₹400 हफ्ता देकर बुलाए गए बिहार के लोग...🙄🙄\n #बीजेपी की रैली की खुली पोल. https://t.co/saQ3qApemT',",positive
" '@nishikant_dubey यहां तो #मरे हुए #सड़को पे जल रहे है, #शमशान घाट में जगह नही है, और #बीजेपी का राज्य है',",positive
" 'चिता की आग पर सत्ता का ख्वाब सजाए बैठे हैं #बीजेपी वाले\nकुछ तो शर्म कर लेते... @BJP4India\n\n#COVID19India #CoronaSecondWave \n@ranvijaylive @RahulGandhi @INCIndia @IYC @SupriyaShrinate @PankajPuniaINC @ajitanjum @ppbajpai @ravishndtv https://t.co/5OPQ883mJV',",positive
" 'क्या यही #गुजरातमॉडल है जंहा के बेटे देश के प्रधानमंत्री है जिनको आवाज देने से पहले पहुच जाते हैं अपने भाइयों की मदद के लिए और यह स्तिथि कमोवेश हर राज्य में भी है परंतु #बीजेपी शासित प्रदेशों में यह अधिक देखने को मिल रही है मानवता भी कुछ होती है यह #मोदीसरकार की नीतियों की देन है https://t.co/BliApPBS1F',",negative
" 'सर्वर चिस्ती जैसे हरामियों को कुत्ते की मौत मरना चाहिए,देश को दंगों में झोकना चाहता है,#अरेस्टसर्वरचिसती #एनडीटीवी #बीजेपी #Rebublicbharat',",positive
" '@KanganaTeam \nकंगना, तुम मोदी का चाटना छोड़ दो और #बीजेपी का चाटुकारिता करना भी बंद कर दो। अगर चाटना ही है तो @SonuSood सर का चाटो क्योंकि इनमें इंसानियत कूट कूट कर भरा हैं। अच्छे लोग के साथ रहोगी तो तुम भी इंसान बन जाओगे नहीं तो फेकू व जुमलेबाज बन जाओगे मोदी के तरह। https://t.co/hhmA3q0kL2',",positive
" 'इसने गलत क्या बोला है\nकौआ ये बता तुमको भी शिक्षा मिला अच्छा ही\nलेकिन तू भी #बीजेपी का दलाल निकाला....\nकोरोना सबके लिए है तो फिर ये कोन\nचूतिया है जो बिना मास्क पहनें भीर को इकठ्ठा कर रहा है https://t.co/y6QnVbcUaP https://t.co/qoChdZsKDF',",positive
" 'घोर कलयुग..\n\nअब तो शमशान घाट को भी निजीकरण किया जा रहा है\n#बीजेपी वालों कम से कम मुर्दों को तो बख्श दो\n\n#StopPrivatization #COVID19India #CoronaSecondWave #ResignModi \n@ranvijaylive @LambaAlka @SupriyaShrinate @PankajPuniaINC @srinivasiyc @INCIndia @IYC https://t.co/a6ZrbBOqXH',",negative
" 'Big Breaking : बिहार सरकार के फैसले पर #बीजेपी ने उठाया सवाल, #नाइट कर्फ्यू को लेकर कठघरे में किया खड़ा... #NightCurfewBihar #NitishKumar #SanjayJaiswal \nhttps://t.co/bdz0rYm37x',",positive
" 'सब याद रखा जायेगा जब दिल्ली के साथ पूरे देश को #ऑक्सीजन और #बेड की कमी से दम तोड़ रहे थे, तब भी #मोदी और #अमित शाह #रैलियों में व्यस्त थे और पूरी #बीजेपी अपनी राजनैतिक #रोटियां सेंकने में ।\nडूब मरो जल्लादों https://t.co/6A15tIXvgu',",positive
" '@MohanMarkamPCC एक तरफ छत्तीसगढ़ कोरोना से लड़ रहा है।\n\nदूसरी तरफ #बीजेपी गठबंधन वाले बिहार के पटना में #श्मशान भी बेचने वाली है सरकार...\n\nमोदीराज़ में यही दिन देखना बाकी रह गया था!\n\nअब अडानी-अंबानी श्मशान देखने मिलेंगे। https://t.co/sSD7W9rFRA',",positive
" '@ArvindKejriwal @DineshMohaniya @SanjayAzadSln इसका उत्तर आपसे कभी भाई मिलेगा पूर्ण विश्वास है हमे।\n#बीजेपी\n#bjp4delhi @RamvirBidhuri @poonambhatibjp @BjpDudeja @SumitGupta1204 @rameshbidhuri @vikrambidhuri @siddharthanbjp @adeshguptabjp https://t.co/O4xJgLyOHS',",positive
" 'भारत माता की जय लेकिन #बीजेपी का बनाया हुआ सब बंद हैस्टेच्यू ऑफ यूनिटी महात्मा मंदिर, मोदी स्टेडियम, बुलेट ट्रेन, धोलेरा सर, सफेद रेगिस्तान, सोलर लाइट, गिफ्ट सिटी,पंक्तिफेरी\n#कांग्रेस का सब कुछ चल रहा है\n108 एम्बुलेंस, अस्पताल, नर्मदा नहर, सरकारी कार्यालय, बैंक, दूध डेयरी, विपणन',",positive
" '@IMinakshiJoshi तुम ऐसे बात मत करो, तुम जितना hate फैलाए हो ना तुम्हारा बाप का पार्टी का साथ मिल कर ओ हम लोग भूल गए हैं और गंद मत फैलाओ और गाली मत खाओ तुम जियो और हम सबको जीने दो और #चटुकरिता करते रही #रामदेव और #बीजेपी #आरएसएस का और पूरे देश को hate स्प्रेड करो परन्तु हम लव ही करेंगे #love',",positive
" 'महाराष्ट्र में 24 घण्टे में 68 हजार कोरोना केस 503 लोगो की मौत\n\nलेकिन #चमचो को तो #बीजेपी राज्यों में ही हालात खराब दिख रहे हैं\n\n#चमचो_के_झूठ_का_दहन',",negative
" 'https://t.co/qtD0TmY0nL\n#जबलपुर.\xa0पूर्व मंत्री #अजयविश्नोई के बाद अब दूसरे #बीजेपी नेता ने अपनी ही सरकार के खिलाफ मोर्चा खोल दिया है.',",negative
" '@sambitswaraj @AmitShah जब से कोरोना भारत में #नमस्ते_ट्रंप लाया है, तब से कोरोना को #विकसित करने में #बीजेपी ने कोई कोर-कसर नहीं छोड़ा है। #बंगाल चुनाव में लाखों के भीड़ इकट्ठा हो रहा है। #कुंभ में लाखों लोग आ रहे हैं और #कोरोना_प्रसाद लेकर पूरे देश में जा रहे हैं, इतना #विकास किसी ने कभी किया है?सोचो।',",negative
" '@jitupatwari @ChouhanShivraj @narendramodi #बीजेपी हटाओ kovid भगाओ#',",positive
" '@navikakumar तुम लोगों के कारण इसे हालत पैदा हो गया तुम लोगों ने जितना जहर , fake &amp; propaganda फैलाए ही हो ना #बीजेपी #आरएसएस के कहने पे वो घोलते घोलते और 1000 साल लग जायेगा, थू तुम जैसे पत्रकार का उप्पर जब पूछना ना था सता को तब तुम #दलाली  में रह गए आज आके ज्ञान दे रहे हो wow #GodiMedia😠😠',",positive
" '@aajtak 1 वर्ष में भी मोदी सरकार स्वास्थ सेवाओं को दुरुस्त नहीं कर सकी #बीजेपी हटाओ कोरोणा मिटाओ',",positive
" '#दिल्ली की #जनता #त्राहि त्राहि कर रही है #मुख्यमंत्री जनता की #स्थिति को #देखकर #परेशान वहाँ ये दिल्ली से #बीजेपी के #सांसद #क्रिकेट #कमेंट्री कर रहे है.\nमूर्ख या महामूर्ख?\n@Samriddhi0809\n@ArvindKejriwal @SanjayAzadSln @Kajal4Fight @LambaAlka @AamAadmiParty @suryapsingh_IAS https://t.co/eQ6tg4oGGC',",positive
" '@HardikPatel_ राम जी का भी मुश्किल लगता है कि वो बचा पायेंगे।।\n#बीजेपी कहती है की राम उनका है।',",positive
" 'जो आज साहिबे मसनद हैं, वही आज के करोना संकट के जिम्मेदार हैं।\nसवाल तो #बीजेपी और #नरेंद्र_मोदी जी से ही होगा।\n#coronavirus',",positive
" '"" विकास किसे कहते है ? "" \n#चुनाव को #रैलियों पे खर्च को #फूल के माला को...\nसिर्फ रैलियां करना यही है विकास ?\nसिर्फ बोलना मंच पे से यही है विकास ?\nआखिर कब होगा विकास ?\n#भारत_सरकार\n#राज्य_सरकार\n#सरकार #सपा #बसपा\n#बीजेपी #आप #विकास #अन्याय #तुष्टिकरण',",positive
" 'एक तरफ #कोरोना तेज़ी से आ रहा है, और #बीजेपी कह रही है #ममता बंगाल से जा रही है !',",positive
" '#समय ने जवाब दे दिया की जनता की सहायता सिर्फ #बीजेपी ही कर रही है,\n#विपक्ष तो सिर्फ मोदी जी को बदनाम करने में लगा है।\nअब #विपक्ष को जवाब भी #समय देगा, #2024',",positive
" 'मुझे #माइक्रोस्कोप से भी ऐसे लोग न दिखे जो #तमिलनाडु में #द्रमुक #अन्नाद्रमुक के बड़ी रैली पर ऐतराज जता रहे हों।सबके निशाने पर सिर्फ़ #मोदी की सभा वह भी केवल #बंगाल की जनसभा। कारण?? क्युकी वहीं ऐसी जगह है जहां #बीजेपी जमीन से आसमान का सफर तय कर सकती है।',",negative
" '@SushilModi फिलहाल बिहार #बीजेपी का पूरा ध्यान कोरोना को फैलाने में लगा है, परिणाम आपके सामने है।',",positive
" '#बीजेपी के बड़े नेताओ का उटपुटांग वयानबाजी साबित करता है की उनका मानसिक संतुलन बिगड़ गया है, \nचोट जाड़ी रखो ।।',",positive
" 'कुछ पार्टियों का तो रोजगार भी छीन लिया है #बीजेपी ने🤣. https://t.co/J6zLdeW7Sc',",positive
" '@KanganaTeam को पता ही नहीं है कि #coronavirus एक राष्ट्रीय आपदा ही नहीं बल्कि एक ग्लोबल आपदा है।ऐसे में @ArvindKejriwal जी अगर #पीएम @narendramodi से आपदा से बचाव के लिए गुहार लगा रहे हैं तो देश की संवैधानिक संघीय ढांचे को मानकर न की #बीजेपी का नेता मानकर।',",positive
" '@BJP4India की दलाली खाते हो तो उसे से हेल्प मांगो @aajtak वालो।\n\nबीमारी में भी सबसे आगे @IYC हेल्प करने के लिए तैयार ओर @INCIndia ने देश को जोड़ो है #बीजेपी की तरह तोड़ा नहीं है ।\n\n#ModiMadeDisaster\n\n@IYC @Chunni_lal_sahu @LambaAlka @abhisar_sharma @srinivasiyc https://t.co/CRRo3CUSmK https://t.co/dGWu6cxQBU',",positive
" 'जनता माफ नही करेगी, अभी भी समय है संभल जाओ #बीजेपी वालो,जनता ने जिस के लिए वोट दिया था,उस बात को याद करो। लोग तड़प रहे और तुमलोग अभी भी राजनीति कर रहे हो। कांग्रेस को क्यों हटाया था भूलना मत, तुमलोग का भी नंबर आ सकता है लोगो के धैर्य की परीक्षा मत लीजिए।\n#COVIDEmergency \n#WakeUp',",positive
" '@vikasbha @dilipkpandey @srinivasiyc Sorry to say but क्या आपकी पहचान #बीजेपी में नही है ?  \nदिन भर पत्तल चाटने के बाद भी ये हाल है ?\n#पनौती_पीएम',",positive
" '@pandey_sanjay_ सर आप जीते ये हमारी शुभकामना है, #गांधी परिवार तो देशद्रोही है सब जानते है, \nपर #बीजेपी और #आरएसएस जिस प्रकार से #ब्रह्मण का सर्वनाश करने में और #हिंदुओ को जात में जो लड़ाने का काम सुरु किया है,वो माफी योग्य नहीं है, हमने #बीजेपी को वोट #दलितों के राजा बनने के लिए दिया था,\nअब नही',",positive
" 'अगर @iNarsinghanand  जी को कुछ भी हुआ तोह मैं और मेरा पूरा परिवार #बीजेपी #BJP को अपने जीवन में दोबारा वोट नहीं देंगे नही देंगे नही देंगे \n@narendramodi @myogiadityanath\n@rajnathsingh\n@ChouhanShivraj\n@JPNadda\n@ManojTiwariMP\n@BJP4India',",positive
" 'पूरी #बीजेपी पार्टी मिलकर भी आपके अकेले के बराबर नही है👍 @srinivasiyc https://t.co/RjO0PTrGCw',",positive
" '#COVID19India इस दुखद समय में भी #बीजेपी के नेता पक्ष विपक्ष पर हमला करने में लगे हो, #चुनाव प्रचार करने में लगे हो ऐसे #देश में मैं रह रहा हूं सोचकर ही शर्म आ रही है..|\n#सबबेचूंगा \n#देश_बिमार_सुस्त_सरकार \n#बंगाल_चुनाव',",positive
" 'अवसर मे उत्सव वो भी इस महामारी मे,,\n#इंदौर मे #बीजेपी के नेताओ ने आक्सीजन टैंक को कई घंटे रोक रखा पुजा व फोटोशूट के लिए। शर्मसार कृत, मोदीजी आपके भक्त आपके ही पथ पर चल रहे है।\n@BJP4India @INCMP \n@jitupatwari @ndtvindia',",negative
" 'वाह क्या गजब के #राजनेता है मेरे देश के #विपक्ष वाले बीजेपी शासित राज्यो में कमी ढूंढने में लगे है,,और #बीजेपी वाले विपक्ष शासित राज्यो में और इन सभी महान #राजनेताओं के आपसी कलह की वजह से बाली चढ़ रही है #आम_जनता ,,कोई इन लोगो को समझाओ पहले लोगो को बचा लो राजनीति तो चलती रहेगी',",positive
" '#उत्तरप्रदेश के #फर्रुखाबाद\n#बीजेपी के गुंडे मीडिया प्रभारी  कोतवाली प्रभारी फतेहगढ़ से अभद्रता करने के बाद में भी पुलिस मूकदर्शक बनी रही https://t.co/60UZR6N8ED',",positive
" 'कुछ लोग कह रहे कि श्मसान में भीड़ दिखा कर असुविधा को दिखाते हुए #बीजेपी सरकार समशान को भी प्राइवेट कर अपने दो लाडले #अडानी_अम्बानी को देना चाहती है । क्या यह खबर सही है #तड़पता_उत्तर_प्रदेश',",negative
" 'Big breaking :-\nबंगाल चुनाव में #बीजेपी को बड़ा झटका ""राहुल गांधी ने कोरोना के चलते बंगाल में अपनी सभी रैलियां स्थगित की""....😜😂😂\n\n#BengalElections2021',",positive
" '@DhavraiyyaTeam @SavarnRspTeam @Hemantsharma456 @sharma_r_s_p @DSSHUKL00371717 @Kapilsh00058455 @SudarshanNewsTV @BBCHindi भाई #बीजेपी के राज में सिर्फ #दलितों की सुनवाई है, #स्वर्ण को तो मोदी जी ने #बलि_का_बकरा बना दिया',",positive
" '@ipsvijrk आज #गांधी जी और सब फ्रीडम फाइटर होते तो उनको शर्म महसूस करते रहेंगे की इस देश केलिए हम लोग लड़े थे तो यह लोग धर्म, जाति की आधार पर वोट देते हैं की और जिसको जिताया हैं वो जाके भाषण बाजी कर रहा हे, हम लोगों को कुछ सिख लेना चहिए था परंतु हम लोग #बीजेपी #आरएसएस चपत में आ गए ....',",positive
" '@adityarss9 भाई इसमें #बीजेपी का कोई काम नहीं है,\n#सत्ता पक्ष में लोगो को उनके भाग्य में छोड़ दिया था, जो बच रहे है वो अपनी मेहनत से\nइस बार सरकार ने सिर्फ लोगो को #मरने के लिए छोड़ा है',",positive
" 'अगर देश के सारे #बीजेपी कार्यालय को #कोविड_केयर_सेंटर में बदल दिया जाए तो देश को 5000 से ज्यादा 500 बेड वाले 4-5 मंजिला #हॉस्पिटल मिल जाए।\n\n#कोरोना #GujaratModel #Maharashtra #ModiMadeDisaster #RahulGandhi #BangalElection2021 #AmitShahRoadshow #तड़पता_उत्तर_प्रदेश',",negative
" '@patna_RJD @RJDforIndia Evm हटेगा तो सबसे पहले तुम्हारा बैंड बजेगा #बीजेपी',",positive
" '@narendramodi https://t.co/mUkdqaSNUJ\nमोदी, तुम खुद ही देख लो आम जनता तथा नेता तुमको कितना बड़ा वाला #C समझता है? वाराणसी वालों तुम्हारा तो मोदी ने चुनाव के बाद मार लिया। बंगाल वालों #बीजेपी वालों से बच के क्योंकि इनका #प्रमुख_नेता_मोदी बहुत दिन से भूखा है मौका मिलते ही लूट लेगा।',",positive
" '@realshooterdadi @AmritanjaliAbh1 दादी, देश चलाने में और निशाने लगाने में फर्क होता है\nमैं किसी भी भीड़ या ऐसे आयोजन का समर्थन भी नही करती हूँ\nआपकी तरह नही कि महीनों से किसान आंदोलन के नाम पर सड़क घेरे लोगों की भीड़ सही है, लेकिन लोकतांत्रिक चुनावो के लिए जमा भीड़ गलत..वो भी सिर्फ #बीजेपी की रैली वाली🤣🤣🙌🏻',",negative
" '#बीजेपी की वैक्सीन है, \n#अडानी के वेंटिलेटर \nऔर अब \n#अम्बानी की ऑक्सीजन, \n\nभगवान ना करे कि विपक्षियों को कोरोना हो और उन्हें ये लेनी पड़े ....😊☺️',",negative
" 'देश के हर शहर में #बीजेपी के जो आलीशान कार्यालय बने हुए है, उनको  #कोविड_केयर_सेंटर #हॉस्पिटल में कब बदल रहे हो? \n#जुमला\n#PMModi #BangalElection2021 #coronavirus #GujaratModel #तड़पता_उत्तर_प्रदेश #IAmSaadHussainRizvi #lockdown #ModiMadeDisaster \n#कोरोना #RahulGandhi',",positive
" '@IMinakshiJoshi @drdkgupta @drharshvardhan @myogiadityanath 300 crores का #बीजेपी दफ्तर किस काम आज पता नहीं चल पा रहा हे, #Govt parliament, मंदिर बनने केलिए सोच रहे हे और हम लोग उनसे हॉस्पिटल उम्मीद कर रह हे हम लोगों को आराम अन्ना चाहिए, यह किसका काम था तुम जैसे #चाटुकारिता पत्रकार का परंतु तुम लोग सिर्फ चाटने में व्यस्त हो गए ....',",positive
" 'कुरूक्षेत्र : BJP सांसद नायब सिंह सैनी को झेलना पड़ा किसानों का विरोध, दिखाए गए काले झंडे \n\n#agriculturallaw #bjp #haryanagovernment #kurukshetra #naibsinghsaini #कुरूक्षेत्र #कृषिकानून #नायबसिंहसैनी #बीजेपी #हरियाणासरकार \n\nhttps://t.co/I50IJpAh2b',",positive
" 'इस #कलुआ को #बीजेपी से भगाया तो बड़ा दुःखी है। @DChaurasia2312 @Nimki911 @mschoudharyjpr @narendramodi @NarsinghVani @GumanSi75745468 https://t.co/i8ya2vYTnl',",negative
