index,LIST_OF_WORDS,POS,NEG,POS_TAG
540,परभरोसा,1,0,a
541,परहावी,1,0,a
542,पवित्र,1,0,a
543,पसँघा,1,0,a
544,पसंदीदा,1,0,a
545,पसंद,1,0,a
546,पहचान,1,0,a
547,पहुंचयोग्य,1,0,a
548,पात्रता,1,0,a
549,पाने,1,0,a
550,पारदर्शी,1,0,a
551,पारिश्रमिक,1,0,a
552,पारकर,1,0,a
553,पीटा,1,0,a
554,पीड़ारहित,1,0,a
555,पीड़ाहीनता,1,0,a
556,पीनापिलाना,1,0,a
557,पुण्य,1,0,a
558,पुनः प्रवर्तन,1,0,a
559,पुनर्गठन,1,0,a
560,पुनर्जागरण,1,0,a
561,पुन: जीवित करना,1,0,a
562,पुन: पुष्टि,1,0,a
563,पुरस्कार,1,0,a
564,पुलकित,1,0,a
565,पुष्टि,1,0,a
566,पुष्टि करना,1,0,a
567,पूजना,1,0,a
568,पूरक,1,0,a
569,पूरा,1,0,a
570,पूराकरना,1,0,a
571,पूरित,1,0,a
572,पूरीबारीकी,1,0,a
573,पूर्णता,1,0,a
574,पूर्ति,1,0,a
575,पृष्ठांकित,1,0,a
576,पेशेवरों,1,0,a
577,पॉलिश,1,0,a
578,पोर्टेबल,1,0,a
579,पोषण,1,0,a
580,पोषित,1,0,a
581,पौष्टिक,1,0,a
582,प्यारा,1,0,a
583,प्यारी,1,0,a
584,प्यार,1,0,a
585,प्यारकरता,1,0,a
586,प्यारकरते,1,0,a
587,प्यारबचाना,1,0,a
588,प्रकाशयुक्त,1,0,a
589,प्रकुल्ल,1,0,a
590,प्रख्यात,1,0,a
591,प्रगतिशील,1,0,a
592,प्रगति,1,0,a
593,प्रचंड,1,0,a
594,प्रचण्डतापूर्वक,1,0,a
595,प्रचलित,1,0,a
596,प्रचुरता,1,0,a
597,प्रचुर,1,0,a
598,प्रतिबद्धता,1,0,a
599,प्रतिभावान,1,0,a
600,प्रतिभाशाली,1,0,a
601,प्रतिभा,1,0,a
602,प्रतियोगी,1,0,a
603,प्रतिष्ठा,1,0,a
604,प्रतिष्ठित,1,0,a
605,प्रतिस्थापन,1,0,a
606,प्रबंधनीय,1,0,a
607,प्रबोधन,1,0,a
608,प्रभावशालिता,1,0,a
609,प्रभावशाली,1,0,a
610,प्रभावित,1,0,a
611,प्रभावी,1,0,a
612,प्रभावोत्पादक,1,0,a
613,प्रभाव,1,0,a
614,प्रभुत्व,1,0,a
615,प्रभुत,1,0,a
616,प्रमुखता,1,0,a
617,प्रमुख,1,0,a
618,प्रवीण,1,0,a
619,प्रशंसकों,1,0,a
620,प्रशंसक,1,0,a
621,प्रशंसनीय,1,0,a
622,प्रशंसापूर्ण,1,0,a
623,प्रशंसापूर्वक,1,0,a
624,प्रशंसा,1,0,a
625,प्रशंसित,1,0,a
626,प्रशस्त,1,0,a
627,प्रसंविदा,1,0,a
628,प्रसन्नचित्त,1,0,a
629,प्रसन्नचित,1,0,a
630,प्रसन्नतापूर्वक,1,0,a
631,प्रसन्न,1,0,a
632,प्रसिद्धि,1,0,a
633,प्रसिद्ध,1,0,a
634,प्राणपोषक,1,0,a
635,प्राप्य,1,0,a
636,प्रामाणिक,1,0,a
637,प्रियता,1,0,a
638,प्रिय,1,0,a
639,प्रेमी,1,0,a
640,प्रेरणादायक,1,0,a
641,प्रेरणा,1,0,a
642,प्रोत्साहक,1,0,a
643,प्रोत्साहन,1,0,a
644,प्रोविडेंस,1,0,a
645,प्लश,1,0,a
646,फलदायक,1,0,a
647,फलफूल,1,0,a
648,फ़रिश्ता,1,0,a
649,फायदे,1,0,a
650,फुर्ती,1,0,a
651,फुसलाना,1,0,a
652,फेलिसिटी,1,0,a
653,फैशन,1,0,a
654,बंदीबनाना,1,0,a
655,बकाया,1,0,a
656,बचत,1,0,a
657,बड़ीक्षमता,1,0,a
658,बड़ेपैमाने,1,0,a
659,बढ़ना,1,0,a
660,बढ़ाता,1,0,a
661,बढ़ाना,1,0,a
662,बढ़ावा,1,0,a
663,बधाई,1,0,a
664,बयाना,1,0,a
665,बयार,1,0,a
666,बहादुरी,1,0,a
667,बहादुर,1,0,a
668,बहाल,1,0,a
669,बहाव,1,0,a
670,बहुतायत,1,0,a
671,बहुमुखी,1,0,a
672,बहुमुल्य,1,0,a
673,बहुश्रुत,1,0,a
674,बहुउद्देशीय,1,0,a
675,बानगी,1,0,a
676,बिनाशर्त,1,0,a
677,बुद्धिमत्ता,1,0,a
678,बुद्धिमानी,1,0,a
679,बुद्धिमान,1,0,a
680,बुद्धिसंगत,1,0,a
681,बुद्धि,1,0,a
682,बेगरज,1,0,a
683,बेगुनाह,1,0,a
684,बेचान,1,0,a
685,बेजोड़,1,0,a
686,बेदाग,1,0,a
687,बेधड़क,1,0,a
688,बेनिशान,1,0,a
689,बेफिक्र,1,0,a
690,बेहतरीन,1,0,a
691,बेहतर,1,0,a
692,बोधगम्य,1,0,a
693,बोनस,1,0,a
694,भक्त,1,0,a
695,भद्रता,1,0,a
696,भयानक,1,0,a
697,भय,1,0,a
698,भरोसेमंद,1,0,a
699,भरोसे,1,0,a
700,भलमनसी,1,0,a
701,भलाई,1,0,a
702,भलीभाँति,1,0,a
703,भविष्य,1,0,a
704,भव्यतापुर्वक,1,0,a
705,भव्यता,1,0,a
706,भव्य,1,0,a
707,भाग्यवश,1,0,a
708,भाग्यशाली,1,0,a
709,भाग्य,1,0,a
710,भाररहित,1,0,a
711,भावपूर्ण,1,0,a
712,भावुकता,1,0,a
713,भेद,1,0,a
714,भोर,1,0,a
715,भ्रातृसदृश,1,0,a
716,मंजूरी,1,0,a
717,मंद,1,0,a
718,मगन,1,0,a
719,मग्न,1,0,a
720,मजबूती,1,0,a
721,मजबूत,1,0,a
722,मज़बूती,1,0,a
723,मज़ा आया,1,0,a
724,मजाक,1,0,a
725,मणि,1,0,a
726,मदद,1,0,a
727,मधुरता,1,0,a
728,मनभावना,1,0,a
729,मनभावन,1,0,a
730,मनमौजी,1,0,a
731,मनाना,1,0,a
732,मनुहार,1,0,a
733,मनोरंजक,1,0,a
734,मनोरंजन,1,0,a
735,मनोरम,1,0,a
736,मनोहन,1,0,a
737,मनोहर,1,0,a
738,मस्त,1,0,a
739,महत्त्वाकांक्षी,1,0,a
740,महत्वपूर्ण,1,0,a
741,महानता,1,0,a
742,महान,1,0,a
743,महामहिम,1,0,a
744,महिमा,1,0,a
745,मातकरना,1,0,a
746,माननीय,1,0,a
747,मानवोचित,1,0,a
748,मानार्थ,1,0,a
749,माना,1,0,a
750,मामूली,1,0,a
751,मार्गदर्शन,1,0,a
752,मार्मिक,1,0,a
753,मास्टरपीस,1,0,a
754,मास्टर,1,0,a
755,मिठास,1,0,a
756,मितव्ययता,1,0,a
757,मितव्ययी,1,0,a
758,मित्रता,1,0,a
759,मित्रभाव,1,0,a
760,मित्रवत,1,0,a
761,मिलनसार,1,0,a
762,मिलाना,1,0,a
763,मीठा,1,0,a
764,मीठाकरना,1,0,a
765,मुक्ति,1,0,a
766,मुक्त,1,0,a
767,मुग्ध,1,0,a
768,मुदित,1,0,a
769,मुद्दामुक्त,1,0,a
770,मुफ़ीद,1,0,a
771,मुमकिन,1,0,a
772,मुश्किल,1,0,a
773,मुस्कराकर,1,0,a
774,मुस्कान,1,0,a
775,मुस्कुरा,1,0,a
776,मुस्तैदी,1,0,a
777,मूल्यवान,1,0,a
778,मूल्यांकन,1,0,a
779,मूसलधार,1,0,a
780,स्वागत,1,0,a
781,सुधार,1,0,a
782,मेलजोल,1,0,a
783,मेहनती,1,0,a
784,मेहमाननवाज,1,0,a
785,मोचन,1,0,a
786,मोहक,1,0,a
787,मोहित,1,0,a
788,मोह,1,0,a
789,मौलिकता,1,0,a
790,यक़ीनदिलाना,1,0,a
791,यथायोग्य,1,0,a
792,यथार्थवादी,1,0,a
793,यथार्थ,1,0,a
794,यथेष्ट,1,0,a
795,यथोचित,1,0,a
796,यशस्वी,1,0,a
797,यश,1,0,a
798,यादगार,1,0,a
799,युवा,1,0,a
800,योगदान,1,0,a
801,योग्यता,1,0,a
802,योग्य,1,0,a
803,रंगीन,1,0,a
804,रक्षक,1,0,a
805,रक्षात्मक,1,0,a
806,रक्षाकरना,1,0,a
807,रचनात्मक,1,0,a
808,रमणीय,1,0,a
809,रमणीरंजनतापूर्वक,1,0,a
810,रसिक,1,0,a
811,रसीला,1,0,a
812,रहस्योद्घाटन,1,0,a
813,राजनयिक,1,0,a
814,राजसी,1,0,a
815,राहत,1,0,a
816,रिकॉर्ड,1,0,a
817,रिझाना,1,0,a
818,रिवीर,1,0,a
819,रिहाकरना,1,0,a
820,रुको,1,0,a
821,रूमानी,1,0,a
822,रॉकसितारों,1,0,a
823,रॉकस्टार,1,0,a
824,रोगी,1,0,a
825,रोचक,1,0,a
826,रोमांचकारी,1,0,a
827,रोमांचित,1,0,a
828,रोमांच,1,0,a
829,रोमानी,1,0,a
830,रोशन,1,0,a
831,लंबेसमय,1,0,a
832,लगातार,1,0,a
833,लचीलापन,1,0,a
834,लचीला,1,0,a
835,लय,1,0,a
836,ललक,1,0,a
837,लाड़प्यार,1,0,a
838,लाभकारी,1,0,a
839,लाभदायक,1,0,a
840,लाभप्रद,1,0,a
841,लाभार्थी,1,0,a
842,लाभ,1,0,a
843,लायक,1,0,a
844,लालित्य,1,0,a
845,लुभाते,1,0,a
846,लुभाना,1,0,a
847,लुभावना,1,0,a
848,वकालत,1,0,a
849,वकील,1,0,a
850,वफादार,1,0,a
851,वर्धित,1,0,a
852,वहन,1,0,a
853,वांछनीय,1,0,a
854,वाकपटुता,1,0,a
855,वाग्मिता,1,0,a
856,वादा,1,0,a
857,वापसी,1,0,a
858,वापस,1,0,a
859,वार्मर,1,0,a
860,वास्तविक,1,0,a
861,वाहवाही,1,0,a
862,विख्यात,1,0,a
863,विचारपूर्वक,1,0,a
864,विचारशील,1,0,a
865,विचित्र,1,0,a
866,विजयी,1,0,a
867,विजय,1,0,a
868,विजेताओं,1,0,a
869,विजेता,1,0,a
870,विद्युतीकरण,1,0,a
871,विधिवत्,1,0,a
872,विनम्रता,1,0,a
873,विनम्र,1,0,a
874,विनयपूर्वक,1,0,a
875,विनय,1,0,a
876,विनीत,1,0,a
877,विनोदपूर्ण,1,0,a
878,विनोदपूर्वक,1,0,a
879,विनोदी,1,0,a
880,विपुल,1,0,a
881,विभूतिमान,1,0,a
882,विभूषित,1,0,a
883,विभोर,1,0,a
884,वियोज्य,1,0,a
885,विलक्षण,1,0,a
886,विलासिता,1,0,a
887,विलासी,1,0,a
888,विलास,1,0,a
889,विविधता,1,0,a
890,विविध,1,0,a
891,विवेकी,1,0,a
892,विवेक,1,0,a
893,विशाल,1,0,a
894,विशिष्ट,1,0,a
895,विशेषकर,1,0,a
896,विशेषाधिकार,1,0,a
897,विशेषाधिकृत,1,0,a
898,विश्ववस्तता,1,0,a
899,विश्वसनीय,1,0,a
900,विश्वासपूर्वक,1,0,a
901,विश्वास,1,0,a
902,विश्वप्रसिद्ध,1,0,a
903,विस्तृत,1,0,a
904,विस्मय,1,0,a
905,विस्मित,1,0,a
906,वीरतापूर्ण,1,0,a
907,वीरतापूर्वक,1,0,a
908,वीरता,1,0,a
909,वीर,1,0,a
910,वृद्धि,1,0,a
911,वैध,1,0,a
912,वैभवशाली,1,0,a
913,वैभव,1,0,a
914,वैषम्यता,1,0,a
915,व्यक्तिगत,1,0,a
