,level_0,index,LIST_OF_WORDS,POS,NEG
161,161,161.0,उत्कृष्ट,1,0
162,162,162.0,उत्कृष्टप्रदर्शन,1,0
163,163,163.0,उत्तम,1,0
164,164,164.0,उत्तरजीविता,1,0
165,165,165.0,उत्तरजीवी,1,0
166,166,166.0,उत्तरदायी,1,0
167,167,167.0,उत्तरवर्ती,1,0
168,168,168.0,उत्तराधिकारी ,1,0
169,169,169.0,उत्तेजकता,1,0
170,170,170.0,उत्तेजक,1,0
171,171,171.0,उत्तेजना,1,0
172,172,172.0,उत्तेजना ,1,0
174,174,174.0,उत्तेजित,1,0
175,175,175.0,उत्तोलन,1,0
176,176,176.0,उत्थान,1,0
177,177,177.0,उत्पादक,1,0
178,178,178.0,उत्पादी,1,0
179,179,179.0,उत्सव,1,0
180,180,180.0,उत्सवसंबंधी,1,0
181,181,181.0,उत्साहपूर्वक,1,0
182,182,182.0,उत्साहित,1,0
183,183,183.0,उत्साही,1,0
184,184,184.0,उत्साह,1,0
185,185,185.0,उत्सुकतापूर्वक,1,0
186,186,186.0,उत्सुकता,1,0
187,187,187.0,उत्सुक,1,0
188,188,188.0,उदबोधन,1,0
189,189,189.0,उदात्त,1,0
190,190,190.0,उदारतापूर्वक,1,0
191,191,191.0,उदारता,1,0
192,192,192.0,उदार,1,0
193,193,193.0,उद्देश्यपूर्ण,1,0
194,194,194.0,उद्यमी,1,0
195,195,195.0,उन्नति,1,0
196,196,196.0,उन्नत,1,0
197,197,197.0,उन्मादपूर्ण,1,0
198,198,198.0,उपजाऊ,1,0
199,199,199.0,उपदेश ,1,0
200,200,200.0,उपयुक्त,1,0
201,201,201.0,उपयोगी,1,0
202,202,202.0,उपलब्धियों,1,0
203,203,203.0,उपलब्धि,1,0
204,204,204.0,उपलब्ध,1,0
205,205,205.0,उपाय,1,0
206,206,206.0,कुशलता,1,0
207,207,207.0,उबलनेवाला,1,0
208,208,208.0,उमंग,1,0
209,209,209.0,उर्वर,1,0
210,210,210.0,उल्लसित,1,0
211,211,211.0,उल्लासपूर्ण,1,0
212,212,212.0,उल्लास,1,0
213,213,213.0,उल्लेखनीय,1,0
214,214,214.0,ऊंचा,1,0
215,215,215.0,ऊपरउठाना,1,0
216,216,216.0,ऊर्जाकीबचत,1,0
217,217,217.0,ऊर्जाकुशल,1,0
218,218,218.0,ऋणी,1,0
219,219,219.0,ऋषिकल्प,1,0
220,220,220.0,एकजुटता,1,0
221,221,221.0,एकता,1,0
222,222,222.0,एकीकृत,1,0
223,223,223.0,एक्सेल,1,0
224,224,224.0,एहसान,1,0
225,225,225.0,ओवरटेक,1,0
226,226,226.0,कट्टर,1,0
227,227,227.0,कठोर,1,0
228,228,228.0,कमकीमत,1,0
229,229,229.0,कमजोखिम,1,0
230,230,230.0,कमलागत,1,0
231,231,231.0,करतब,1,0
232,232,232.0,करामाती,1,0
233,233,233.0,करिज्मा,1,0
234,234,234.0,करिश्माई,1,0
235,235,235.0,कर्षण,1,0
236,236,236.0,कल्पनाशील,1,0
237,237,237.0,कल्पित,1,0
238,238,238.0,क़ाबिलियत,1,0
239,239,239.0,काउंटरहमले,1,0
240,240,240.0,कानूनी,1,0
241,241,241.0,कापी,1,0
242,242,242.0,कामयाब ,1,0
243,243,243.0,कामुक,1,0
244,244,244.0,वादाकिया,1,0
245,245,245.0,समर्थन ,1,0
246,246,246.0,किफायती,1,0
247,247,247.0,किरण,1,0
248,248,248.0,अग्रसर,1,0
249,249,249.0,कृपा,1,0
250,250,250.0,वसूली,1,0
251,251,251.0,सराहना,1,0
252,252,252.0,सिफारिश,1,0
253,253,253.0,कुतरना,1,0
254,254,254.0,कुरकुरा,1,0
255,255,255.0,कुशलतापूर्वक,1,0
257,257,257.0,कुशल,1,0
258,258,258.0,कुशाग्र ,1,0
259,259,259.0,कृतज्ञता ,1,0
260,260,260.0,कृतज्ञ,1,0
261,261,261.0,कृपालु,1,0
262,262,262.0,कॉर्नरस्टोन,1,0
263,263,263.0,कोमल,1,0
264,264,264.0,कोमल ,1,0
265,265,265.0,पुनर्जीवित ,1,0
266,266,266.0,प्रेरित,1,0
267,267,267.0,प्रोत्साहित,1,0
268,268,268.0,मंत्रमुग्ध,1,0
269,269,269.0,लुभाने,1,0
270,270,270.0,शांत,1,0
271,271,271.0,सब्सिडी,1,0
272,272,272.0,सरल ,1,0
273,273,273.0,सशक्त ,1,0
274,274,274.0,सहीठहराया,1,0
275,275,275.0,सुविधाजनक ,1,0
276,276,276.0,हराने,1,0
277,277,277.0,कौतुक,1,0
278,278,278.0,कौशलपूर्वक,1,0
279,279,279.0,कौशल,1,0
280,280,280.0,क्रान्तिकारी,1,0
281,281,281.0,क्रियात्मक,1,0
282,282,282.0,क्रियाशील ,1,0
283,283,283.0,परिवर्तन,1,0
284,284,284.0,क्लासिक,1,0
285,285,285.0,क्षमता,1,0
286,286,286.0,क्षमा,1,0
287,287,287.0,ख़ासकर,1,0
288,288,288.0,ख़ुशी ,1,0
289,289,289.0,ख़ुश,1,0
290,290,290.0,खिलना,1,0
291,291,291.0,खिले,1,0
292,292,292.0,खुलेआम,1,0
293,293,293.0,खुलेतौर,1,0
294,294,294.0,खुलेदिल ,1,0
295,295,295.0,खुशामदी,1,0
296,296,296.0,खुशामद ,1,0
297,297,297.0,खुशी,1,0
298,298,298.0,खुशीखुशी,1,0
299,299,299.0,खुश,1,0
300,300,300.0,खूबसूरती ,1,0
301,301,301.0,खूबी ,1,0
302,302,302.0,ख्याति,1,0
303,303,303.0,गंधा,1,0
304,304,304.0,गतिशील,1,0
305,305,305.0,गम्भीरता,1,0
306,306,306.0,गरमागरम,1,0
307,307,307.0,गरमी ,1,0
308,308,308.0,गरम,1,0
309,309,309.0,गरिमा,1,0
310,310,310.0,गर्मी,1,0
311,311,311.0,गर्म,1,0
312,312,312.0,गर्वित ,1,0
313,313,313.0,गर्व,1,0
314,314,314.0,गहराई ,1,0
315,315,315.0,गहरा,1,0
316,316,316.0,ग़ुलाम ,1,0
317,317,317.0,गारंटी,1,0
318,318,318.0,गुणग्राही,1,0
319,319,319.0,गुदगुदाना,1,0
320,320,320.0,गुदगुदी,1,0
321,321,321.0,गुलाबी,1,0
322,322,322.0,गूंजना,1,0
323,323,323.0,गेय,1,0
324,324,324.0,गोलमटोल,1,0
325,325,325.0,गौर,1,0
326,326,326.0,ग्रस्तता,1,0
327,327,327.0,ग्रहणशील,1,0
328,328,328.0,ग्रहणकरना,1,0
329,329,329.0,घूसदेना,1,0
330,330,330.0,चंगा,1,0
331,331,331.0,चंचल,1,0
332,332,332.0,चकाचौंधा,1,0
333,333,333.0,चकाचौंध,1,0
334,334,334.0,चकित,1,0
335,335,335.0,चकितकरना,1,0
336,336,336.0,चतुरता,1,0
337,337,337.0,चतुराई ,1,0
338,338,338.0,चपलता,1,0
339,339,339.0,चमकदार,1,0
340,340,340.0,चमकना,1,0
341,341,341.0,चमकीला,1,0
342,342,342.0,चमक,1,0
343,343,343.0,चमकदमक ,1,0
344,344,344.0,चमत्कारपूर्ण,1,0
345,345,345.0,चमत्कारपूर्वक,1,0
346,346,346.0,चमत्कारिक,1,0
347,347,347.0,चमत्कारिक ,1,0
348,348,348.0,चमत्कारी ,1,0
349,349,349.0,चमत्कार,1,0
350,350,350.0,चयनात्मक,1,0
351,351,351.0,चालाकी ,1,0
352,352,352.0,चालाक,1,0
353,353,353.0,चाव ,1,0
354,354,354.0,चाहे,1,0
355,355,355.0,चिंताशील,1,0
356,356,356.0,चिकना,1,0
357,357,357.0,चिकनी,1,0
358,358,358.0,चिपट ,1,0
359,359,359.0,चिरस्थायी,1,0
360,360,360.0,चुप,1,0
361,361,361.0,चुस्ती ,1,0
362,362,362.0,चुस्त,1,0
363,363,363.0,चैंपियन,1,0
364,364,364.0,चौंकाने,1,0
365,365,365.0,चौकस,1,0
366,366,366.0,छन्दबद्ध,1,0
367,367,367.0,छुड़ाना,1,0
368,368,368.0,छूट,1,0
369,369,369.0,जबड़े ,1,0
370,370,370.0,जयकार,1,0
371,371,371.0,जयघोष ,1,0
372,372,372.0,जयध्वनि,1,0
373,373,373.0,जल्दबाज़ी ,1,0
374,374,374.0,जवाबीहमला,1,0
375,375,375.0,जवाहरात,1,0
376,376,376.0,जशन,1,0
377,377,377.0,जश्नमनाना,1,0
378,378,378.0,ज़मानत,1,0
379,379,379.0,ज़ाहिरदार,1,0
380,380,380.0,ज़िंदादिली,1,0
381,381,381.0,जागरूक,1,0
382,382,382.0,जादुई,1,0
383,383,383.0,जादू,1,0
384,384,384.0,जानकार,1,0
385,385,385.0,जानालाजिमी,1,0
386,386,386.0,जान,1,0
387,387,387.0,जिम्मेदारी ,1,0
388,388,388.0,जीतता,1,0
389,389,389.0,जीतना,1,0
390,390,390.0,जीतने,1,0
391,391,391.0,जीता,1,0
392,392,392.0,जीत,1,0
393,393,393.0,जीवंत,1,0
394,394,394.0,जुटना,1,0
395,395,395.0,जुर्माना,1,0
396,396,396.0,जैसा,1,0
397,397,397.0,जोखिममुक्त,1,0
398,398,398.0,जोड़नेवाला,1,0
399,399,399.0,जोशीला,1,0
400,400,400.0,जोश,1,0
401,401,401.0,जोशख़रोश,1,0
402,402,402.0,ज्वलंत,1,0
403,403,403.0,झिलमिलाता,1,0
404,404,404.0,झुनझुनी,1,0
405,405,405.0,टिकाऊ,1,0
406,406,406.0,टोलफ्री,1,0
407,407,407.0,ट्रम्प,1,0
408,408,408.0,ट्रेंडी,1,0
409,409,409.0,ट्रॉफ़ी,1,0
410,410,410.0,ठग,1,0
411,411,411.0,ठाठ ,1,0
412,412,412.0,ठीक,1,0
413,413,413.0,ठीककरना,1,0
414,414,414.0,ठीकदिखने,1,0
415,415,415.0,ठीकप्रकार ,1,0
416,416,416.0,ठोस,1,0
417,417,417.0,डींग,1,0
418,418,418.0,ढील,1,0
419,419,419.0,तगड़ा,1,0
420,420,420.0,तजरबाकार,1,0
421,421,421.0,तप,1,0
422,422,422.0,तर्कशीलता,1,0
423,423,423.0,तर्कसंगत,1,0
424,424,424.0,तर्क,1,0
425,425,425.0,तसल्लीब्ख़्श,1,0
426,426,426.0,तहेदिल ,1,0
427,427,427.0,ताज़ा,1,0
428,428,428.0,ताज़ाकरना,1,0
429,429,429.0,ताजा,1,0
430,430,430.0,तानाशाही,1,0
431,431,431.0,तारकीय,1,0
432,432,432.0,तारीफ ,1,0
433,433,433.0,तार्किक,1,0
434,434,434.0,तीव्रता ,1,0
435,435,435.0,तीव्र,1,0
436,436,436.0,तुरन्त,1,0
437,437,437.0,तृप्तिदायी,1,0
438,438,438.0,तेजस्वी,1,0
439,439,439.0,तेज़ी,1,0
440,440,440.0,तेज़,1,0
441,441,441.0,तेजी,1,0
442,442,442.0,तेज,1,0
443,443,443.0,तैयार,1,0
444,444,444.0,दमभरनेवाला,1,0
445,445,445.0,दयालुता,1,0
446,446,446.0,दयालु,1,0
447,447,447.0,दया,1,0
448,448,448.0,दरार,1,0
449,449,449.0,दर्दसेमुक्त,1,0
450,450,450.0,दानकर्ता,1,0
451,451,451.0,दिमागउड़ा,1,0
452,452,452.0,दिलकश,1,0
453,453,453.0,दिलचस्प,1,0
454,454,454.0,दिली,1,0
455,455,455.0,दिलेरी,1,0
456,456,456.0,दिलसे,1,0
457,457,457.0,दिव्य,1,0
458,458,458.0,दीप्ति,1,0
459,459,459.0,दुबला,1,0
460,460,460.0,दुर्जेय,1,0
461,461,461.0,दूरदर्शिता,1,0
462,462,462.0,दृढ़तापूर्वक,1,0
463,463,463.0,दृढ़ता,1,0
464,464,464.0,दृढ़,1,0
465,465,465.0,दृढ़रहना,1,0
466,466,466.0,देवतुल्य,1,0
467,467,467.0,देवदूत,1,0
468,468,468.0,देवरूप,1,0
469,469,469.0,देशभक्तिपूर्ण,1,0
470,470,470.0,देशभक्त,1,0
471,471,471.0,दैवीकरण,1,0
472,472,472.0,दोषरहित,1,0
473,473,473.0,दौलतमन्द,1,0
474,474,474.0,द्वेषी,1,0
475,475,475.0,धनी,1,0
476,476,476.0,धन्यवाद,1,0
477,477,477.0,धर्मार्थ,1,0
478,478,478.0,धर्म,1,0
479,479,479.0,धारणीय,1,0
480,480,480.0,धाराप्रवाह,1,0
481,481,481.0,धार्मिकता,1,0
482,482,482.0,धार्मिक,1,0
483,483,483.0,धीर,1,0
484,484,484.0,धूलसासस्ता,1,0
485,485,485.0,धैर्यपूर्वक,1,0
486,486,486.0,धैर्य,1,0
487,487,487.0,ध्यानदेने ,1,0
488,488,488.0,नखलिस्तान,1,0
489,489,489.0,नजाकत,1,0
490,490,490.0,नम्रता,1,0
491,491,491.0,नम्र,1,0
492,492,492.0,नया,1,0
493,493,493.0,नरम,1,0
494,494,494.0,नवसिखुआ,1,0
495,495,495.0,नवीकृत,1,0
496,496,496.0,नवीनता,1,0
497,497,497.0,नाजुक,1,0
498,498,498.0,नायक,1,0
499,499,499.0,नायिका,1,0
500,500,500.0,निडर,1,0
501,501,501.0,निधि,1,0
502,502,502.0,निपुण,1,0
503,503,503.0,निरंतरता,1,0
504,504,504.0,निर्णायक,1,0
505,505,505.0,निर्दोषता ,1,0
506,506,506.0,निर्दोषिता ,1,0
507,507,507.0,निर्दोष,1,0
508,508,508.0,निर्भीक,1,0
509,509,509.0,निर्मल,1,0
510,510,510.0,निर्विवाद,1,0
511,511,511.0,निविदा,1,0
512,512,512.0,निश्चितता,1,0
513,513,513.0,निष्कलंक ,1,0
514,514,514.0,निष्ठावान,1,0
515,515,515.0,निष्ठा,1,0
516,516,516.0,निष्पक्षता,1,0
517,517,517.0,निष्पक्षता ,1,0
518,518,518.0,निष्पक्ष,1,0
519,519,519.0,निस्संदेह,1,0
520,520,520.0,निहायत,1,0
521,521,521.0,निहार,1,0
522,522,522.0,नीरव,1,0
523,523,523.0,नेकनीयत,1,0
524,524,524.0,नेकी,1,0
525,525,525.0,नेक,1,0
526,526,526.0,नेतृत्व,1,0
527,527,527.0,नेत्रपकड़ने,1,0
528,528,528.0,नैतिकता,1,0
529,529,529.0,नैतिक,1,0
530,530,530.0,नौगम्य,1,0
531,531,531.0,न्यायपूर्वक,1,0
532,532,532.0,न्यायसंगत,1,0
533,533,533.0,पठनीय,1,0
534,534,534.0,पतली,1,0
535,535,535.0,पदोन्नत,1,0
536,536,536.0,परमानंद,1,0
537,537,537.0,परमसुखी,1,0
538,538,538.0,पराक्रमी,1,0
539,539,539.0,पराक्रम ,1,0
540,540,540.0,पराजित,1,0
541,541,541.0,परिपक्वता,1,0
542,542,542.0,परिपक्व,1,0
543,543,543.0,परिश्रम,1,0
544,544,544.0,परिष्कृत,1,0
545,545,545.0,परिहार,1,0
546,546,546.0,परेशानी,1,0
547,547,547.0,परोपकारी,1,0
548,548,548.0,परोपकार,1,0
549,549,549.0,पर्याप्त,1,0
550,550,550.0,परभरोसा,1,0
551,551,551.0,परहावी,1,0
552,552,552.0,पवित्र,1,0
553,553,553.0,पसँघा,1,0
554,554,554.0,पसंदीदा,1,0
555,555,555.0,पसंद,1,0
556,556,556.0,पहचान,1,0
557,557,557.0,पहुंचयोग्य,1,0
558,558,558.0,पात्रता,1,0
559,559,559.0,पाने,1,0
560,560,560.0,पारदर्शी,1,0
561,561,561.0,पारिश्रमिक ,1,0
562,562,562.0,पारकर,1,0
563,563,563.0,पीटा,1,0
564,564,564.0,पीड़ारहित,1,0
565,565,565.0,पीड़ाहीनता ,1,0
566,566,566.0,पीनापिलाना,1,0
567,567,567.0,पुण्य,1,0
568,568,568.0,पुनः प्रवर्तन,1,0
569,569,569.0,पुनर्गठन,1,0
570,570,570.0,पुनर्जागरण,1,0
571,571,571.0,पुन: जीवित करना,1,0
572,572,572.0,पुन: पुष्टि,1,0
573,573,573.0,पुरस्कार,1,0
574,574,574.0,पुलकित,1,0
575,575,575.0,पुष्टि,1,0
576,576,576.0,पुष्टि करना,1,0
577,577,577.0,पूजना,1,0
578,578,578.0,पूरक,1,0
579,579,579.0,पूरा,1,0
580,580,580.0,पूराकरना,1,0
581,581,581.0,पूरित,1,0
582,582,582.0,पूरीबारीकी,1,0
583,583,583.0,पूर्णता,1,0
584,584,584.0,पूर्ति,1,0
585,585,585.0,पृष्ठांकित,1,0
586,586,586.0,पेशेवरों,1,0
587,587,587.0,पॉलिश,1,0
588,588,588.0,पोर्टेबल,1,0
589,589,589.0,पोषण,1,0
590,590,590.0,पोषित,1,0
591,591,591.0,पौष्टिक,1,0
592,592,592.0,प्यारा,1,0
593,593,593.0,प्यारी,1,0
594,594,594.0,प्यार,1,0
595,595,595.0,प्यारकरता ,1,0
596,596,596.0,प्यारकरते ,1,0
597,597,597.0,प्यारबचाना,1,0
598,598,598.0,प्रकाशयुक्त,1,0
599,599,599.0,प्रकुल्ल,1,0
600,600,600.0,प्रख्यात,1,0
601,601,601.0,प्रगतिशील,1,0
602,602,602.0,प्रगति,1,0
603,603,603.0,प्रचंड,1,0
604,604,604.0,प्रचण्डतापूर्वक,1,0
605,605,605.0,प्रचलित,1,0
606,606,606.0,प्रचुरता,1,0
607,607,607.0,प्रचुर,1,0
608,608,608.0,प्रतिबद्धता,1,0
609,609,609.0,प्रतिभावान,1,0
610,610,610.0,प्रतिभाशाली,1,0
611,611,611.0,प्रतिभा,1,0
612,612,612.0,प्रतियोगी,1,0
613,613,613.0,प्रतिष्ठा,1,0
614,614,614.0,प्रतिष्ठित,1,0
615,615,615.0,प्रतिस्थापन ,1,0
616,616,616.0,प्रबंधनीय,1,0
617,617,617.0,प्रबोधन,1,0
618,618,618.0,प्रभावशालिता,1,0
619,619,619.0,प्रभावशाली,1,0
620,620,620.0,प्रभावित,1,0
621,621,621.0,प्रभावी,1,0
622,622,622.0,प्रभावोत्पादक,1,0
623,623,623.0,प्रभाव,1,0
624,624,624.0,प्रभुत्व,1,0
625,625,625.0,प्रभुत,1,0
626,626,626.0,प्रमुखता,1,0
627,627,627.0,प्रमुख,1,0
628,628,628.0,प्रवीण,1,0
629,629,629.0,प्रशंसकों,1,0
630,630,630.0,प्रशंसक,1,0
631,631,631.0,प्रशंसनीय,1,0
632,632,632.0,प्रशंसापूर्ण,1,0
633,633,633.0,प्रशंसापूर्वक,1,0
634,634,634.0,प्रशंसा,1,0
635,635,635.0,प्रशंसित,1,0
636,636,636.0,प्रशस्त,1,0
637,637,637.0,प्रसंविदा,1,0
638,638,638.0,प्रसन्नचित्त,1,0
639,639,639.0,प्रसन्नचित,1,0
640,640,640.0,प्रसन्नतापूर्वक,1,0
641,641,641.0,प्रसन्न,1,0
642,642,642.0,प्रसिद्धि,1,0
643,643,643.0,प्रसिद्ध,1,0
644,644,644.0,प्राणपोषक,1,0
645,645,645.0,प्राप्य,1,0
646,646,646.0,प्रामाणिक,1,0
647,647,647.0,प्रियता,1,0
648,648,648.0,प्रिय,1,0
649,649,649.0,प्रेमी,1,0
650,650,650.0,प्रेरणादायक,1,0
651,651,651.0,प्रेरणा,1,0
653,653,653.0,प्रोत्साहक,1,0
654,654,654.0,प्रोत्साहन,1,0
656,656,656.0,प्रोविडेंस,1,0
657,657,657.0,प्लश,1,0
658,658,658.0,फलदायक,1,0
659,659,659.0,फलफूल,1,0
660,660,660.0,फ़रिश्ता,1,0
661,661,661.0,फायदे,1,0
662,662,662.0,फुर्ती ,1,0
663,663,663.0,फुसलाना,1,0
664,664,664.0,फेलिसिटी,1,0
665,665,665.0,फैशन,1,0
666,666,666.0,बंदीबनाना,1,0
667,667,667.0,बकाया,1,0
668,668,668.0,बचत,1,0
669,669,669.0,बड़ीक्षमता,1,0
670,670,670.0,बड़ेपैमाने ,1,0
671,671,671.0,बढ़ना,1,0
672,672,672.0,बढ़ाता ,1,0
673,673,673.0,बढ़ाना,1,0
674,674,674.0,बढ़ावा,1,0
675,675,675.0,बधाई,1,0
676,676,676.0,बयाना,1,0
677,677,677.0,बयार,1,0
678,678,678.0,बहादुरी,1,0
679,679,679.0,बहादुर,1,0
680,680,680.0,बहाल,1,0
681,681,681.0,बहाव,1,0
682,682,682.0,बहुतायत,1,0
683,683,683.0,बहुमुखी,1,0
684,684,684.0,बहुमुखी ,1,0
686,686,686.0,बहुमुल्य ,1,0
687,687,687.0,बहुश्रुत,1,0
688,688,688.0,बहुउद्देशीय,1,0
689,689,689.0,बानगी,1,0
690,690,690.0,बिनाशर्त,1,0
691,691,691.0,बुद्धिमत्ता,1,0
692,692,692.0,बुद्धिमानी,1,0
693,693,693.0,बुद्धिमान,1,0
694,694,694.0,बुद्धिसंगत,1,0
695,695,695.0,बुद्धि,1,0
696,696,696.0,बेगरज,1,0
697,697,697.0,बेगुनाह,1,0
698,698,698.0,बेचान,1,0
699,699,699.0,बेजोड़,1,0
700,700,700.0,बेदाग,1,0
701,701,701.0,बेधड़क,1,0
702,702,702.0,बेनिशान,1,0
703,703,703.0,बेफिक्र,1,0
704,704,704.0,बेहतरीन,1,0
705,705,705.0,बेहतर,1,0
706,706,706.0,बोधगम्य,1,0
707,707,707.0,बोनस,1,0
708,708,708.0,भक्त,1,0
709,709,709.0,भद्रता,1,0
710,710,710.0,भयानक,1,0
711,711,711.0,भय,1,0
712,712,712.0,भरोसेमंद,1,0
713,713,713.0,भरोसे,1,0
714,714,714.0,भलमनसी,1,0
715,715,715.0,भलाई,1,0
716,716,716.0,भलीभाँति,1,0
717,717,717.0,भविष्य,1,0
718,718,718.0,भव्यतापुर्वक,1,0
719,719,719.0,भव्यता,1,0
720,720,720.0,भव्य,1,0
721,721,721.0,भाग्यवश,1,0
